record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256501028759262,209,869,249,13723,15669,1740,4105,18974
1785256501053482646,125,873,168,6779,7709,682,4105,9733
1785256501075706781,125,873,168,6779,7709,682,4105,9733
1785256501129656182,240,931,259,13959,16067,1882,4105,19605
1785256501142255927,240,931,259,13959,16067,1882,4105,19605
1785256501198402900,208,842,321,15454,18391,1743,4105,21822
1785256501230962866,129,877,277,15245,17579,1978,4105,21130
1785256501250909958,131,926,143,5277,5903,472,4105,7719
1785256501297856578,119,921,326,15283,18123,1771,4105,21498
1785256501337493704,124,876,291,16698,19235,2152,4533,27517
1785256501352366428,142,958,201,5773,6531,525,4533,8567
1785256501376241104,142,958,201,5773,6531,525,4533,8567
1785256501432692563,222,866,299,16424,18978,1960,4533,22565
1785256501442238336,222,866,299,16424,18978,1960,4533,22565
1785256501500400329,225,950,315,16984,20236,1960,4533,24027
1785256501534878221,140,928,325,18137,21101,2221,4533,25256
1785256501550007384,131,894,143,4515,5069,361,4533,6776
1785256501598959095,132,936,315,16057,19070,1930,4533,22607
1785256501632999598,134,873,293,16566,19518,2014,4533,23254
1785256501650288272,138,897,137,4445,5031,348,4533,6722
1785256501676108445,138,897,137,4445,5031,348,4533,6722
1785256501733164315,221,837,303,16375,19005,2007,4533,22609
1785256501742383883,221,837,303,16375,19005,2007,4533,22609
1785256501804682136,233,870,311,17065,20074,2010,4366,28186
1785256501833964370,133,925,316,17244,20265,2015,4366,24152
1785256501851029112,125,865,144,4916,5548,460,4366,7309
1785256501900306992,129,928,405,17274,20317,2061,4366,24067
1785256501926670704,115,894,303,11062,13181,2019,4366,16939
1785256501949906725,125,864,138,4200,4751,357,4366,6377
1785256501975841942,125,864,138,4200,4751,357,4366,6377
1785256502026453478,213,838,302,10745,12746,1940,4366,16287
1785256502042500625,213,838,302,10745,12746,1940,4366,16287
1785256502099774888,235,938,319,16660,19472,1858,4366,23188
1785256502132492796,140,907,331,16429,19304,1961,4366,22953
1785256502142181994,140,907,331,16429,19304,1961,4366,22953
1785256502197844699,238,869,284,15175,17709,1891,4366,21395
1785256502239039934,113,876,338,17468,20887,2103,4526,29163
1785256502251487839,135,932,150,5135,5751,448,4526,7814
1785256502275886827,135,932,150,5135,5751,448,4526,7814
1785256502334175264,223,841,303,16822,20127,2112,4526,23869
1785256502342255901,223,841,303,16822,20127,2112,4526,23869
1785256502395761804,227,866,273,13487,15486,1840,4526,19177
1785256502433704136,117,823,308,16866,20267,2000,4526,23829
1785256502452645669,133,868,166,6235,7039,652,4526,9163
1785256502496548118,130,822,278,14597,16837,1811,4526,20080
